1-61 3-44 9-59 13-61 23-49 25-53 34-60 36-40 38-88 40-44 52-41 54-58 59-61 63-47 67-4 76-70 85-34 86-44 90-20 93-49 98-48 107-62 113-55
2-99 3-88 9-29 14-51 23-46 26-56 34-59 36-66 39-20 40-36 52-45 55-40 59-60 63-36 67-23 76-74 85-35 86-60 90-49 93-26 99-60 108-50 114-50
2-41 4-37 9-75 15-41 23-30 27-78 34-61 36-66 39-43 41-48 52-55 55-58 59-46 63-50 67-40 76-37 85-56 86-33 90-46 93-72 99-61 108-48 115-70
1-57 3-50 10-49 15-35 23-56 25-64 34-5 36-66 38-62 41-49 52-66 54-53 59-46 63-73 67-50 76-63 85-37 86-45 90-48 93-25 98-57 107-25 113-52
2-45 3-73 9-32 16-41 24-50 28-62 34-56 37-42 39-32 40-56 53-72 54-60 59-40 63-21 67-31 76-43 85-63 86-29 90-80 94-59 99-53 109-58 114-35
2-47 3-39 10-62 14-48 23-61 26-43 34-43 36-76 39-52 41-48 52-23 55-44 59-42 63-55 67-39 76-66 85-43 86-46 90-47 93-52 98-52 108-32 114-105
2-55 4-73 9-53 15-41 23-43 26-27 34-60 36-28 39-32 42-59 52-49 55-58 59-31 63-29 67-64 76-38 85-58 86-49 90-51 93-28 98-25 108-53 115-62
2-77 4-42 10-57 15-35 23-44 27-41 34-45 36-86 39-47 41-45 52-76 55-42 59-43 63-47 67-21 76-46 85-46 86-63 90-48 93-42 99-59 107-36 115-64
1-49 3-37 10-25 15-31 23-47 25-36 34-33 36-67 38-46 43-63 52-27 54-52 59-81 63-21 67-5 76-57 85-53 86-32 90-31 93-30 98-38 110-47 114-27
2-53 4-51 9-51 14-44 23-44 26-57 34-38 36-52 39-34 42-48 52-46 55-43 59-40 63-49 67-30 76-51 85-42 86-50 90-52 93-73 98-45 107-70 115-65
2-62 3-32 10-59 14-44 23-48 27-68 34-85 36-25 39-49 42-48 52-27 55-60 59-53 63-59 67-53 76-69 85-37 86-23 90-13 93-40 99-69 108-37 114-46
2-50 3-50 10-68 14-23 23-52 26-63 34-22 36-35 39-39 41-38 52-45 55-45 59-55 63-59 67-32 76-59 85-50 86-15 90-66 93-51 98-60 107-41 115-53
2-79 4-46 9-60 14-52 23-32 26-42 34-55 36-42 39-40 44-53 52-64 55-34 59-57 63-50 67-60 76-46 85-56 86-36 90-10 93-30 99-58 107-56 114-68
1-39 3-33 10-44 15-73 23-54 25-39 34-81 36-17 38-59 40-41 52-51 54-42 59-62 63-38 67-7 76-22 85-32 86-47 90-62 93-37 99-42 110-31 113-57
2-69 3-55 11-58 13-66 24-24 28-26 34-61 37-72 39-27 41-47 53-41 54-56 59-60 64-74 67-87 76-55 85-62 86-28 90-72 94-74 98-83 109-50 114-14
2-90 5-32 11-37 16-64 24-44 28-57 34-56 36-33 38-70 40-42 52-30 54-36 59-47 63-49 67-68 76-62 85-24 86-58 90-4 93-61 99-52 111-26 113-35
2-30 6-42 11-63 15-46 24-73 28-25 34-12 37-59 39-35 40-45 53-43 54-66 59-33 63-62 67-53 76-34 85-48 86-62 90-58 94-20 99-57 109-43 114-35
1-64 3-50 9-74 13-55 23-45 25-27 34-48 36-53 38-47 41-58 52-36 54-57 59-60 63-66 67-57 76-27 85-72 86-47 90-30 93-55 98-34 107-48 114-57
1-38 3-51 10-36 15-51 23-27 25-39 34-51 36-56 38-18 41-52 52-46 54-30 59-42 63-70 67-35 76-43 85-35 86-60 90-71 93-61 99-50 107-74 113-85
1-55 3-27 9-46 13-55 23-59 25-72 34-55 36-52 38-30 40-43 52-44 54-48 59-63 63-56 67-54 76-34 85-63 86-28 90-55 93-31 99-27 107-44 113-35
2-72 4-72 9-66 14-57 23-51 26-59 34-63 36-61 39-52 40-50 52-54 55-91 59-30 63-60 67-30 76-11 85-68 86-51 90-33 93-58 99-34 107-42 115-51
1-37 3-35 10-62 13-54 23-74 25-52 34-43 36-60 38-39 41-45 52-27 54-37 59-57 63-59 67-21 76-43 85-45 86-42 90-33 93-38 99-47 110-64 114-36
2-50 4-63 10-86 14-56 23-35 27-55 34-76 36-43 39-53 40-52 52-56 55-37 59-46 63-78 67-66 76-46 85-31 86-44 90-46 93-54 99-17 107-32 115-35
2-36 4-44 10-38 15-63 23-43 26-68 34-34 36-43 39-52 44-68 52-68 55-13 59-64 63-54 67-42 76-42 85-28 86-43 90-61 93-23 99-58 108-78 115-67
2-38 4-67 9-14 15-42 23-39 27-31 34-40 36-43 39-58 42-47 52-61 55-44 59-57 63-26 67-30 76-47 85-50 86-32 90-43 93-55 98-69 107-62 115-34
1-66 6-67 9-59 15-40 23-29 25-57 34-44 36-36 38-63 41-5 52-87 54-36 59-39 63-20 67-54 76-56 85-58 86-62 90-47 93-45 99-41 110-46 114-40
2-32 3-48 10-25 14-38 23-60 26-45 34-70 36-60 39-63 41-44 52-35 55-54 59-20 63-44 67-85 76-52 85-50 86-31 90-66 93-25 99-57 108-41 115-46
2-42 3-52 10-57 15-54 23-41 27-33 34-81 36-57 39-36 44-32 52-39 55-40 59-46 63-37 67-45 76-47 85-52 86-62 90-60 93-64 99-73 108-63 115-69
