1-42 2-58 3-58 4-63 
1-53 2-15 3-50 4-41 
1-59 2-85 3-38 4-28 
1-50 2-48 3-24 4-71 
1-41 2-54 3-45 4-52 
1-62 2-48 3-71 4-57 
1-61 2-27 3-41 4-40 
1-24 2-44 3-63 4-89 
1-44 2-28 3-46 4-18 
1-62 2-57 3-32 4-35 
1-33 2-52 3-28 4-46 
1-20 2-19 3-24 4-22 
1-42 2-64 3-57 4-52 
1-50 2-28 3-41 4-59 
1-45 2-52 3-38 4-51 
1-66 2-45 3-48 4-41 
1-67 2-33 3-43 4-43 
1-50 2-52 3-57 4-27 
1-53 2-64 3-39 4-29 
1-33 2-32 3-63 4-52 
1-45 2-72 3-65 4-47 
1-68 2-40 3-59 4-22 
1-53 2-25 3-68 4-44 
1-44 2-69 3-18 4-58 
1-62 2-38 3-29 4-29 
1-41 2-33 3-51 4-40 
1-63 2-61 3-56 4-37 
1-38 2-12 3-53 4-57 
1-34 2-67 3-32 4-55 
1-56 2-72 3-66 4-56 
1-84 2-72 3-33 4-56 
1-41 2-44 3-38 4-78 
1-37 2-53 3-49 4-27 
1-50 2-51 3-47 4-63 
1-35 2-35 3-29 4-39 
1-50 2-68 3-55 4-53 
1-38 2-105 3-67 4-34 
1-49 2-28 3-31 4-83 
1-64 2-80 3-48 4-48 
1-25 2-63 3-36 4-31 
1-61 2-28 3-45 4-39 
1-63 2-56 3-39 4-63 
1-42 2-56 3-75 4-70 
1-48 2-61 3-42 4-58 
1-45 2-32 3-50 4-68 
1-38 2-42 3-57 4-26 
1-39 2-65 3-50 4-5 
1-62 2-74 3-39 4-26 
1-14 2-33 3-50 4-69 
1-46 2-60 3-76 4-52 
1-61 2-39 3-55 4-64 
1-58 2-56 3-60 4-44 
1-36 2-54 3-62 4-12 
1-51 2-53 3-58 4-42 
1-64 2-27 3-53 4-30 
1-35 2-46 3-60 4-58 
1-39 2-46 3-45 4-72 
1-47 2-24 3-63 4-30 
1-47 2-46 3-48 4-41 
1-57 2-49 3-59 4-46 
1-59 2-48 3-41 4-27 
1-73 2-50 3-37 4-31 
1-38 2-97 3-45 4-41 
1-31 2-23 3-53 4-54 
1-48 2-33 3-56 4-48 
1-56 2-76 3-64 4-44 
1-63 2-55 3-43 4-45 
1-52 2-22 3-48 4-29 
1-49 2-80 3-46 4-44 
1-75 2-49 3-34 4-51 
