1-16 2-49 3-91 4-45 5-69 6-43 7-42 8-50 9-54 10-34 11-59 12-65 13-45 14-54 15-43 16-56 
1-27 2-51 3-31 4-55 5-52 6-53 7-53 8-54 9-67 10-61 11-36 12-43 13-45 14-60 15-75 16-88 
1-47 2-26 3-16 4-49 5-50 6-62 7-57 8-35 9-17 10-56 11-59 12-20 13-43 14-79 15-48 16-58 
1-67 2-45 3-49 4-45 5-21 6-37 7-72 8-48 9-61 10-76 11-25 12-68 13-37 14-56 15-85 16-50 
1-38 2-56 3-35 4-35 5-57 6-71 7-49 8-51 9-31 10-44 11-49 12-63 13-43 14-89 15-53 16-40 
1-55 2-46 3-46 4-36 5-30 6-36 7-91 8-40 9-57 10-30 11-49 12-52 13-40 14-31 15-33 16-26 
1-63 2-43 3-35 4-53 5-38 6-37 7-45 8-63 9-45 10-52 11-57 12-58 13-42 14-40 15-33 16-60 
1-53 2-33 3-27 4-49 5-57 6-28 7-65 8-70 9-68 10-34 11-53 12-67 13-58 14-49 15-54 16-16 
1-62 2-61 3-41 4-48 5-47 6-56 7-49 8-18 9-70 10-22 11-67 12-40 13-42 14-76 15-17 16-51 
1-47 2-63 3-18 4-45 5-57 6-38 7-46 8-40 9-48 10-77 11-52 12-43 13-60 14-56 15-43 16-29 
1-54 2-92 3-51 4-17 5-69 6-56 7-53 8-45 9-37 10-50 11-38 12-41 13-41 14-36 15-58 16-38 
1-75 2-44 3-58 4-52 5-61 6-28 7-61 8-42 9-75 10-63 11-57 12-42 13-28 14-58 15-63 16-54 
1-44 2-56 3-69 4-30 5-63 6-32 7-65 8-67 9-40 10-31 11-43 12-35 13-32 14-70 15-58 16-61 
1-32 2-22 3-59 4-25 5-29 6-38 7-56 8-25 9-38 10-42 11-34 12-59 13-64 14-36 15-70 16-34 
1-33 2-65 3-57 4-56 5-37 6-49 7-64 8-32 9-54 10-42 11-39 12-52 13-45 14-54 15-39 16-72 
1-51 2-37 3-29 4-79 5-42 6-33 7-57 8-65 9-48 10-48 11-51 12-19 13-76 14-34 15-38 16-55 
1-62 2-49 3-64 4-34 5-61 6-29 7-53 8-63 9-42 10-64 11-47 12-14 13-50 14-63 15-44 16-47 
1-71 2-40 3-29 4-72 5-23 6-59 7-32 8-53 9-58 10-42 11-60 12-63 13-79 14-38 15-31 16-33 
1-58 2-48 3-25 4-46 5-47 6-62 7-44 8-66 9-35 10-75 11-34 12-60 13-36 14-51 15-45 16-65 
1-57 2-52 3-53 4-48 5-79 6-44 7-38 8-49 9-42 10-70 11-39 12-34 13-34 14-34 15-39 16-55 
1-54 2-47 3-54 4-42 5-36 6-52 7-46 8-55 9-18 10-90 11-55 12-47 13-61 14-57 15-51 16-55 
1-67 2-46 3-53 4-48 5-20 6-80 7-47 8-8 9-53 10-53 11-60 12-24 13-35 14-62 15-42 16-31 
1-58 2-63 3-51 4-48 5-55 6-56 7-37 8-34 9-22 10-42 11-36 12-38 13-42 14-51 15-71 16-47 
1-61 2-72 3-28 4-46 5-61 6-27 7-29 8-46 9-49 10-58 11-60 12-33 13-50 14-46 15-77 16-47 
1-79 2-56 3-45 4-52 5-48 6-37 7-55 8-42 9-52 10-51 11-60 12-32 13-33 14-24 15-65 16-63 
1-33 2-95 3-43 4-49 5-42 6-50 7-59 8-42 9-58 10-28 11-66 12-62 13-29 14-75 15-72 16-44 
1-35 2-1 3-52 4-43 5-48 6-62 7-40 8-26 9-85 10-19 11-50 12-60 13-50 14-64 15-57 16-47 
1-48 2-27 3-51 4-37 5-71 6-37 7-44 8-45 9-41 10-37 11-38 12-55 13-40 14-53 15-79 16-44 
1-39 2-59 3-40 4-8 5-58 6-35 7-38 8-69 9-60 10-41 11-79 12-59 13-60 14-60 15-68 16-65 
1-56 2-65 3-76 4-54 5-50 6-40 7-58 8-31 9-32 10-53 11-48 12-47 13-45 14-36 15-57 16-55 
1-45 2-37 3-74 4-20 5-54 6-73 7-48 8-28 9-53 10-33 11-46 12-42 13-17 14-9 15-19 16-46 
1-42 2-23 3-69 4-49 5-37 6-50 7-64 8-59 9-48 10-57 11-38 12-48 13-49 14-63 15-55 16-37 
1-11 2-57 3-21 4-42 5-59 6-57 7-58 8-47 9-37 10-72 11-68 12-34 13-52 14-40 15-53 16-45 
1-58 2-44 3-38 4-48 5-45 6-35 7-61 8-42 9-33 10-51 11-37 12-59 13-64 14-26 15-40 16-55 
1-30 2-31 3-65 4-38 5-46 6-37 7-55 8-24 9-49 10-42 11-51 12-46 13-63 14-25 15-13 16-61 
1-17 2-68 3-27 4-21 5-60 6-59 7-79 8-74 9-81 10-12 11-55 12-41 13-51 14-40 15-33 16-55 
1-39 2-56 3-54 4-66 5-44 6-63 7-62 8-47 9-48 10-76 11-69 12-67 13-1 14-65 15-46 16-57 
1-59 2-39 3-24 4-27 5-53 6-40 7-45 8-74 9-39 10-62 11-70 12-25 13-43 14-57 15-66 16-48 
1-71 2-45 3-29 4-68 5-36 6-58 7-66 8-37 9-52 10-43 11-81 12-59 13-24 14-40 15-20 16-44 
1-38 2-16 3-39 4-60 5-53 6-35 7-67 8-69 9-28 10-36 11-42 12-59 13-25 14-51 15-47 16-49 
1-67 2-63 3-64 4-28 5-49 6-32 7-63 8-27 9-46 10-47 11-59 12-40 13-32 14-67 15-46 16-51 
1-72 2-60 3-39 4-36 5-43 6-35 7-65 8-56 9-56 10-64 11-29 12-48 13-65 14-44 15-47 16-78 
1-61 2-36 3-53 4-29 5-41 6-32 7-47 8-48 9-66 10-58 11-32 12-46 13-17 14-27 15-35 16-55 
1-2 2-61 3-52 4-54 5-65 6-61 7-61 8-44 9-69 10-49 11-22 12-54 13-55 14-39 15-65 16-42 
1-65 2-48 3-69 4-68 5-38 6-36 7-32 8-79 9-81 10-36 11-38 12-78 13-44 14-48 15-71 16-39 
1-60 2-66 3-33 4-45 5-61 6-71 7-33 8-40 9-41 10-53 11-41 12-43 13-46 14-48 15-45 16-62 
1-54 2-72 3-46 4-57 5-90 6-38 7-35 8-54 9-68 10-42 11-53 12-26 13-22 14-45 15-27 16-62 
